IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,14.45,,,13.62,,15.18,14.45 [13.62-15.18],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,14.61,,,14.03,,15.49,14.61 [14.03-15.49],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,15.15,,,13.59,,16.96,15.15 [13.59-16.96],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,15.44,,,13.67,,17.83,15.44 [13.67-17.83],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,15.56,,,13.58,,17.63,15.56 [13.58-17.63],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,15.74,,,15.44,,16,15.74 [15.44-16.00],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,15.87,,,14.61,,17.35,15.87 [14.61-17.35],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,16.31,,,15.16,,17.4,16.31 [15.16-17.40],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,16.41,,,15.06,,17.91,16.41 [15.06-17.91],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,16.52,,,16.26,,16.75,16.52 [16.26-16.75],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,16.54,,,15.57,,17.48,16.54 [15.57-17.48],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,16.57,,,16.03,,17.17,16.57 [16.03-17.17],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,16.66,,,15.7,,17.71,16.66 [15.70-17.71],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,16.8,,,15.3,,18.89,16.80 [15.30-18.89],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,16.94,,,15.69,,18.16,16.94 [15.69-18.16],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,17.02,,,16.13,,18.25,17.02 [16.13-18.25],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.18,,,16.33,,18.13,17.18 [16.33-18.13],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.28,,,16.11,,18.44,17.28 [16.11-18.44],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.28,,,16.63,,17.99,17.28 [16.63-17.99],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.41,,,17.14,,17.69,17.41 [17.14-17.69],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,17.77,,,16.82,,18.72,17.77 [16.82-18.72],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,17.95,,,17.12,,18.81,17.95 [17.12-18.81],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,18.07,,,17.66,,18.63,18.07 [17.66-18.63],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,18.16,,,17.71,,18.6,18.16 [17.71-18.60],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,18.33,,,17.63,,19.08,18.33 [17.63-19.08],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,18.45,,,17.46,,19.44,18.45 [17.46-19.44],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,18.6,,,17.5,,19.67,18.60 [17.50-19.67],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,18.73,,,17.09,,20.39,18.73 [17.09-20.39],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,18.94,,,17.51,,20.48,18.94 [17.51-20.48],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,19.22,,,17.77,,20.64,19.22 [17.77-20.64],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,19.36,,,18.25,,20.37,19.36 [18.25-20.37],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,19.44,,,18.43,,20.67,19.44 [18.43-20.67],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BGR,Bulgaria,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,19.48,,,18.37,,20.57,19.48 [18.37-20.57],,,EN,2022-08-11T22:00:00.000Z
